Position in reads	Percentage of Q20+ bases	Percentage of Q30+ bases	Percentage of Clean Q20+	Percentage of Clean Q30+
1	98.44%	93.52%	98.44%	93.52%
2	98.38%	92.89%	98.38%	92.89%
3	97.92%	91.56%	97.92%	91.56%
4	98.44%	92.65%	98.44%	92.65%
5	98.50%	91.90%	98.50%	91.90%
6	97.34%	92.02%	97.34%	92.02%
7	97.98%	92.25%	97.98%	92.25%
8	97.46%	92.13%	97.46%	92.13%
9	97.74%	92.08%	97.74%	92.08%
10	97.92%	92.65%	97.92%	92.65%
11	98.55%	92.48%	98.55%	92.48%
12	97.86%	90.34%	97.86%	90.34%
13	98.44%	92.60%	98.44%	92.60%
14	97.69%	92.25%	97.69%	92.25%
15	97.28%	91.21%	97.28%	91.21%
16	97.28%	91.56%	97.28%	91.56%
17	97.74%	90.69%	97.74%	90.69%
18	98.09%	91.61%	98.09%	91.61%
19	97.92%	91.79%	97.92%	91.79%
20	97.40%	90.34%	97.40%	90.34%
21	97.40%	91.32%	97.40%	91.32%
22	97.92%	89.88%	97.92%	89.88%
23	97.92%	91.44%	97.92%	91.44%
24	96.88%	89.47%	96.88%	89.47%
25	97.57%	91.85%	97.57%	91.85%
26	97.57%	90.92%	97.57%	90.92%
27	97.80%	91.21%	97.80%	91.21%
28	96.82%	89.13%	96.82%	89.13%
29	97.17%	91.09%	97.17%	91.09%
30	98.15%	91.79%	98.15%	91.79%
31	97.63%	90.34%	97.63%	90.34%
32	97.11%	89.59%	97.11%	89.59%
33	97.40%	91.85%	97.40%	91.85%
34	96.59%	89.42%	96.59%	89.42%
35	97.28%	90.17%	97.28%	90.17%
36	96.82%	88.09%	96.82%	88.09%
37	97.17%	89.65%	97.17%	89.65%
38	97.74%	89.53%	97.74%	89.53%
39	97.22%	89.59%	97.22%	89.59%
40	97.28%	89.88%	97.28%	89.88%
41	97.98%	90.11%	97.98%	90.11%
42	96.36%	88.14%	96.36%	88.14%
43	96.47%	88.32%	96.47%	88.32%
44	97.11%	90.63%	97.11%	90.63%
45	96.65%	89.24%	96.65%	89.24%
46	97.05%	88.55%	97.05%	88.55%
47	96.59%	88.72%	96.59%	88.72%
48	96.65%	89.01%	96.65%	89.01%
49	97.46%	90.51%	97.46%	90.51%
50	97.11%	88.03%	97.11%	88.03%
51	97.46%	90.57%	97.46%	90.57%
52	96.99%	89.30%	96.99%	89.30%
53	95.95%	88.55%	95.95%	88.55%
54	96.41%	87.80%	96.41%	87.80%
55	96.93%	88.66%	96.93%	88.66%
56	97.34%	89.53%	97.34%	89.53%
57	96.93%	89.30%	96.93%	89.30%
