Pos	A	C	G	T	N	clean A	clean C	clean G	clean T	clean N
1	24.80%	26.50%	22.90%	25.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
2	25.90%	22.90%	25.10%	26.10%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
3	25.80%	23.00%	25.90%	25.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
4	25.50%	23.10%	24.60%	26.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
5	26.10%	26.90%	22.90%	24.10%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
6	23.50%	26.40%	25.00%	25.10%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
7	24.80%	23.70%	24.60%	26.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
8	25.90%	23.80%	25.60%	24.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
9	22.10%	25.60%	24.50%	27.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
10	23.60%	26.80%	23.90%	25.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
11	25.60%	26.40%	23.30%	24.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
12	22.40%	26.60%	26.80%	24.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
13	23.70%	25.40%	25.10%	25.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
14	24.80%	23.40%	26.10%	25.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
15	25.50%	23.20%	26.60%	24.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
16	24.10%	25.50%	26.40%	24.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
17	25.20%	25.90%	24.50%	24.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
18	24.10%	26.50%	26.40%	23.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
19	23.70%	27.30%	22.40%	26.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
20	23.90%	26.90%	24.40%	24.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
21	27.50%	24.90%	25.50%	22.10%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
22	24.80%	28.00%	24.30%	22.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
23	24.00%	25.80%	26.30%	23.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
24	26.10%	23.90%	25.90%	24.10%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
25	24.50%	25.30%	24.30%	25.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
26	22.70%	27.50%	25.60%	24.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
27	24.40%	25.70%	23.80%	26.10%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
28	24.90%	26.50%	23.70%	24.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
29	24.80%	25.40%	24.00%	25.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
30	24.60%	24.10%	26.30%	25.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
31	27.50%	23.90%	25.00%	23.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
32	25.70%	26.30%	23.10%	24.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
33	27.90%	25.70%	25.10%	21.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
34	26.00%	23.80%	24.10%	26.10%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
35	23.40%	24.50%	24.50%	27.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
36	27.80%	24.30%	24.30%	23.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
37	23.80%	26.20%	25.20%	24.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
38	26.80%	24.50%	23.20%	25.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
39	25.00%	23.30%	25.70%	26.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
40	24.90%	24.60%	24.50%	26.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
41	23.60%	24.50%	26.00%	25.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
42	25.20%	22.90%	24.50%	27.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
43	26.60%	23.80%	24.20%	25.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
44	26.20%	21.40%	27.10%	25.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
45	23.10%	26.40%	27.00%	23.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
46	22.40%	24.60%	26.80%	26.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
47	24.10%	25.60%	24.40%	25.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
48	27.80%	23.70%	24.10%	24.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
49	24.30%	25.40%	26.00%	24.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
50	26.10%	25.60%	22.40%	25.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
51	23.20%	24.30%	28.80%	23.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
52	26.60%	23.40%	25.30%	24.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
53	23.70%	25.30%	27.70%	23.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
54	28.00%	23.40%	23.00%	25.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
55	24.50%	24.40%	23.80%	27.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
56	26.50%	25.70%	23.10%	24.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
57	23.60%	25.00%	26.40%	25.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
58	26.30%	24.20%	25.10%	24.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
59	25.00%	24.30%	25.40%	25.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
60	23.60%	24.20%	27.40%	24.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
61	25.30%	24.40%	24.30%	26.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
62	24.00%	25.70%	25.50%	24.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
63	23.20%	26.80%	23.50%	26.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
64	25.40%	26.10%	25.80%	22.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
65	27.70%	26.00%	22.30%	24.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
66	23.80%	24.30%	24.20%	27.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
67	23.90%	25.70%	25.30%	25.10%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
68	27.50%	24.20%	25.10%	23.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
69	26.10%	23.90%	26.60%	23.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
70	24.00%	27.30%	24.20%	24.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
71	25.50%	24.40%	25.70%	24.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
72	26.90%	22.80%	25.20%	25.10%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
73	25.20%	24.50%	25.40%	24.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
74	23.50%	26.00%	25.80%	24.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
75	22.40%	25.00%	25.00%	27.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
76	26.60%	24.30%	23.90%	25.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
77	25.90%	24.60%	25.90%	23.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
78	25.80%	23.60%	24.10%	26.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
79	25.20%	26.20%	25.70%	22.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
80	27.00%	24.10%	22.00%	26.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
81	26.20%	25.60%	24.80%	23.40%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
82	26.10%	24.60%	26.00%	23.30%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
83	26.20%	26.80%	22.80%	24.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
84	23.40%	23.20%	25.90%	27.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
85	24.80%	25.50%	26.90%	22.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
86	25.50%	24.20%	27.30%	23.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
87	24.80%	25.70%	24.90%	24.60%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
88	23.80%	24.40%	25.10%	26.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
89	26.80%	22.60%	24.80%	25.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
90	23.70%	27.90%	24.50%	23.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
91	24.10%	23.50%	26.70%	25.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
92	23.10%	26.80%	21.60%	28.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
93	26.00%	23.60%	27.40%	23.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
94	24.10%	24.70%	24.10%	27.10%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
95	25.00%	23.00%	24.30%	27.70%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
96	25.00%	23.80%	25.40%	25.80%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
97	24.60%	25.30%	25.20%	24.90%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
98	25.90%	26.30%	22.60%	25.20%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
99	27.30%	21.10%	25.10%	26.50%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
100	25.80%	25.10%	25.10%	24.00%	0.00%	-nan%	-nan%	-nan%	-nan%	-nan%
